Section,Organ,Variable,Role,Modeling form / weighting,"Missing, n/N (%)",Missingness denominator,Model handling
Outcome and time scale,Liver,PM2.5 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before PM2.5 data end,"0/209,450 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Liver,PM2.5 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or PM2.5 data end","0/209,450 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Lung,NO2 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before NO2 data end,"0/52,577 (0.0%)",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Lung,NO2 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or NO2 data end","0/52,577 (0.0%)",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Lung,O3 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before O3 data end,"0/45,425 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Lung,O3 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or O3 data end","0/45,425 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Lung,PM2.5 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before PM2.5 data end,"0/45,425 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Lung,PM2.5 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or PM2.5 data end","0/45,425 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Core covariates,Heart,Age at listing,Adjustment covariate,"Continuous, linear","6/83,624 (0.0%)",All primary cohort person waitlist episodes for organ,Complete cases required for model fitting
Core covariates,Heart,Listing transplant center,Center adjustment,Stratified baseline hazard using strata(listing_center),"0/83,624 (0.0%)",All primary cohort person waitlist episodes for organ,Missing values modeled as an explicit Missing stratum
Core covariates,Heart,Listing year,Temporal adjustment covariate,Categorical indicator variables,"0/83,624 (0.0%)",All primary cohort person waitlist episodes for organ,Complete cases required for model fitting
Core covariates,Heart,Race,Adjustment covariate,Categorical indicator variables,"368/83,624 (0.4%)",All primary cohort person waitlist episodes for organ,Missing values modeled as an explicit Missing category
Core covariates,Heart,Sex,Adjustment covariate,Categorical indicator variables,"0/83,624 (0.0%)",All primary cohort person waitlist episodes for organ,Missing values modeled as an explicit Missing category
Core covariates,Kidney,Age at listing,Adjustment covariate,"Continuous, linear","0/643,225 (0.0%)",All primary cohort person waitlist episodes for organ,Complete cases required for model fitting
Core covariates,Kidney,Listing transplant center,Center adjustment,Stratified baseline hazard using strata(listing_center),"0/643,225 (0.0%)",All primary cohort person waitlist episodes for organ,Missing values modeled as an explicit Missing stratum
Core covariates,Kidney,Listing year,Temporal adjustment covariate,Categorical indicator variables,"0/643,225 (0.0%)",All primary cohort person waitlist episodes for organ,Complete cases required for model fitting
Core covariates,Kidney,Race,Adjustment covariate,Categorical indicator variables,"1,005/643,225 (0.2%)",All primary cohort person waitlist episodes for organ,Missing values modeled as an explicit Missing category
Core covariates,Kidney,Sex,Adjustment covariate,Categorical indicator variables,"0/643,225 (0.0%)",All primary cohort person waitlist episodes for organ,Missing values modeled as an explicit Missing category
Core covariates,Liver,Age at listing,Adjustment covariate,"Continuous, linear","0/238,078 (0.0%)",All primary cohort person waitlist episodes for organ,Complete cases required for model fitting
Core covariates,Liver,Listing transplant center,Center adjustment,Stratified baseline hazard using strata(listing_center),"0/238,078 (0.0%)",All primary cohort person waitlist episodes for organ,Missing values modeled as an explicit Missing stratum
Core covariates,Liver,Listing year,Temporal adjustment covariate,Categorical indicator variables,"0/238,078 (0.0%)",All primary cohort person waitlist episodes for organ,Complete cases required for model fitting
Core covariates,Liver,Race,Adjustment covariate,Categorical indicator variables,"890/238,078 (0.4%)",All primary cohort person waitlist episodes for organ,Missing values modeled as an explicit Missing category
Core covariates,Liver,Sex,Adjustment covariate,Categorical indicator variables,"0/238,078 (0.0%)",All primary cohort person waitlist episodes for organ,Missing values modeled as an explicit Missing category
Core covariates,Lung,Age at listing,Adjustment covariate,"Continuous, linear","0/52,613 (0.0%)",All primary cohort person waitlist episodes for organ,Complete cases required for model fitting
Core covariates,Lung,Listing transplant center,Center adjustment,Stratified baseline hazard using strata(listing_center),"0/52,613 (0.0%)",All primary cohort person waitlist episodes for organ,Missing values modeled as an explicit Missing stratum
Core covariates,Lung,Listing year,Temporal adjustment covariate,Categorical indicator variables,"0/52,613 (0.0%)",All primary cohort person waitlist episodes for organ,Complete cases required for model fitting
Core covariates,Lung,Race,Adjustment covariate,Categorical indicator variables,"230/52,613 (0.4%)",All primary cohort person waitlist episodes for organ,Missing values modeled as an explicit Missing category
Core covariates,Lung,Sex,Adjustment covariate,Categorical indicator variables,"0/52,613 (0.0%)",All primary cohort person waitlist episodes for organ,Missing values modeled as an explicit Missing category
Organ-specific baseline severity,Heart,Heart US-CRS proxy,Baseline severity adjustment,"Continuous, linear composite score","6/83,624 (0.0%)",Heart person waitlist episodes,Derived from available baseline fields after median imputation of laboratory components
Organ-specific baseline severity,Kidney,Diabetes,Kidney baseline severity adjustment,Binary indicator,"0/643,225 (0.0%)",Kidney person waitlist episodes,Constructed from SRTR diabetes fields
Organ-specific baseline severity,Kidney,Dialysis duration,Kidney baseline severity adjustment,"Continuous, linear years","0/643,225 (0.0%)",Kidney person waitlist episodes,Set to 0 when no dialysis time indicator was 1
Organ-specific baseline severity,Kidney,No dialysis time,Kidney baseline severity adjustment,Binary indicator,"0/643,225 (0.0%)",Kidney person waitlist episodes,"Constructed as 1 for no dialysis, missing dialysis date, or 0 dialysis duration"
Organ-specific baseline severity,Liver,Liver MELD/PELD score,Baseline severity adjustment,"Continuous, linear score","10/238,078 (0.0%)",Liver person waitlist episodes,"Initial MELD/PELD used, with last MELD/PELD used when initial value was unavailable"
Organ-specific baseline severity,Lung,Lung LAS/CAS component proxy,Baseline severity adjustment,"Continuous, linear composite score","0/52,613 (0.0%)",Lung person waitlist episodes,Derived from baseline lung components; missing numeric components set to 0 in proxy score
Organ-score components,Heart,Durable LVAD,Heart US-CRS proxy component,Binary indicator,"0/83,624 (0.0%)",Heart person waitlist episodes,Constructed from CAND_THOR and candidate VAD brand codes; missing/no qualifying device coded 0
Organ-score components,Heart,Heart BNP,Heart US-CRS proxy component,Median-imputed log1p continuous input to proxy score,"54,325/83,624 (65.0%)",Heart person waitlist episodes,Raw missingness shown; missing values median-imputed within heart cohort for score calculation
Organ-score components,Heart,Heart BNP type,Heart US-CRS proxy component,Categorical BNP vs NT-proBNP indicator,"0/83,624 (0.0%)",Heart person waitlist episodes,RiskStratDataHR type used when available; statjust-only BNP values coded unknown and assigned the BNP coefficient
Organ-score components,Heart,Heart albumin,Heart US-CRS proxy component,Median-imputed continuous input to proxy score,"14,900/83,624 (17.8%)",Heart person waitlist episodes,Raw missingness shown; missing values median-imputed within heart cohort for score calculation
Organ-score components,Heart,Heart bilirubin,Heart US-CRS proxy component,Median-imputed log1p continuous input to proxy score,"49,174/83,624 (58.8%)",Heart person waitlist episodes,Raw missingness shown; missing values median-imputed within heart cohort for score calculation
Organ-score components,Heart,Heart eGFR,Heart US-CRS proxy component,Continuous input derived with 2021 CKD-EPI creatinine equation,"6/83,624 (0.0%)",Heart person waitlist episodes,Creatinine was median-imputed before eGFR calculation when missing
Organ-score components,Heart,Heart sodium,Heart US-CRS proxy component,Median-imputed continuous input to proxy score,"48,836/83,624 (58.4%)",Heart person waitlist episodes,Raw missingness shown; missing values median-imputed within heart cohort for score calculation
Organ-score components,Heart,Short-term mechanical circulatory support,Heart US-CRS proxy component,Binary indicator,"0/83,624 (0.0%)",Heart person waitlist episodes,Constructed from ECMO/RVAD fields; missing/no support coded 0
Organ-score components,Lung,Corticosteroid dependence,Lung LAS/CAS proxy component,Binary indicator,"0/52,613 (0.0%)",Lung person waitlist episodes,Missing/no corticosteroid dependence coded 0
Organ-score components,Lung,ECMO use,Lung LAS/CAS proxy component,Binary indicator,"0/52,613 (0.0%)",Lung person waitlist episodes,Missing/no ECMO coded 0
Organ-score components,Lung,Lung 6-minute walk distance,Lung LAS/CAS proxy component,Continuous input to proxy score,"34,576/52,613 (65.7%)",Lung person waitlist episodes,Raw missingness shown; missing values set to 0 for proxy score calculation
Organ-score components,Lung,Lung FEV1,Lung LAS/CAS proxy component,Continuous input to proxy score,"34,872/52,613 (66.3%)",Lung person waitlist episodes,Raw missingness shown; missing values set to 0 for proxy score calculation
Organ-score components,Lung,Lung FVC,Lung LAS/CAS proxy component,Continuous input to proxy score,"34,825/52,613 (66.2%)",Lung person waitlist episodes,Raw missingness shown; missing values set to 0 for proxy score calculation
Organ-score components,Lung,Lung PCO2,Lung LAS/CAS proxy component,Continuous input to proxy score,"37,255/52,613 (70.8%)",Lung person waitlist episodes,Raw missingness shown; missing values set to 0 for proxy score calculation
Organ-score components,Lung,Lung cardiac output,Lung LAS/CAS proxy component,Continuous input to proxy score,"4,801/52,613 (9.1%)",Lung person waitlist episodes,Raw missingness shown; missing values set to 0 for proxy score calculation
Organ-score components,Lung,Lung mean pulmonary artery pressure,Lung LAS/CAS proxy component,Continuous input to proxy score,"4,083/52,613 (7.8%)",Lung person waitlist episodes,Raw missingness shown; missing values set to 0 for proxy score calculation
Organ-score components,Lung,Lung resting oxygen,Lung LAS/CAS proxy component,Continuous input to proxy score,"35,241/52,613 (67.0%)",Lung person waitlist episodes,Raw missingness shown; missing values set to 0 for proxy score calculation
Organ-score components,Lung,Ventilator use,Lung LAS/CAS proxy component,Binary indicator,"0/52,613 (0.0%)",Lung person waitlist episodes,Missing/no ventilator coded 0
