center_code,total_candidates,dominant_organ,n_organs,center_type,optn_region,center_name,city,state,zip,country,lon,lat,location_source
TXVA,1733,Kidney,3,TX1,4,Michael E. DeBakey VA Medical Center,Houston,TX,77030,USA,-95.40466829175892,29.7092595,zip_zcta
UTLD,4425,Kidney,3,TX1,5,Intermountain Medical Center,Murray,UT,84107,USA,-111.88362413035068,40.6582315,zip_zcta
UTMC,4509,Kidney,4,TX1,5,University of Utah Medical Center,Salt Lake City,UT,84132,USA,-111.93,40.78,city_state
UTPC,761,Liver,3,TX1,5,Primary Children's Hospital,Salt Lake City,UT,84113,USA,-111.83313168796657,40.7622825,zip_zcta
VACH,93,Kidney,1,TX1,11,Children's Hospital of the King's Daughters,Norfolk,VA,23507,USA,-76.30517559749623,36.8647935,zip_zcta
VAFH,4730,Kidney,4,TX1,2,Inova Fairfax Hospital,Falls Church,VA,22042,USA,-77.19515386457081,38.864097,zip_zcta
VAHD,1293,Kidney,2,TX1,11,Henrico Doctors' Hospital,Richmond,VA,23229,USA,-77.56416246173715,37.5937835,zip_zcta
VAMC,8839,Kidney,4,TX1,11,"VCU Health System Authority, VCUMC",Richmond,VA,23298,USA,-77.42919511186565,37.542406,zip_zcta
VAMV,195,Heart,1,TX1,11,Hunter Holmes McGuire Veterans Administration Medical Center,Richmond,VA,23249,USA,-77.47,37.53,city_state
VANG,3396,Kidney,2,TX1,11,Sentara Norfolk General Hospital,Norfolk,VA,23507,USA,-76.30517559749623,36.8647935,zip_zcta
VAUV,7244,Kidney,4,TX1,11,University of Virginia Health Sciences Center,Charlottesville,VA,22908,USA,-78.4960951729191,38.0311475,zip_zcta
VTMC,668,Kidney,1,TX1,9,The University of Vermont Medical Center,Burlington,VT,05401,USA,-73.22822099199264,44.477070499999996,zip_zcta
WACH,1109,Kidney,3,TX1,6,Seattle Children's Hospital,Seattle,WA,98105,USA,-122.26905122552034,47.660442,zip_zcta
WASH,1712,Kidney,2,TX1,6,Providence Sacred Heart Medical Center & Children's Hospital,Spokane,WA,99204,USA,-117.42805440537849,47.646578000000005,zip_zcta
WASM,3596,Kidney,2,TX1,6,Swedish Medical Center,Seattle,WA,98122,USA,-122.29236075257889,47.6106745,zip_zcta
WAUW,8621,Kidney,4,TX1,6,University of Washington Medical Center,Seattle,WA,98195,USA,-122.30751994360485,47.654223,zip_zcta
WAVM,2400,Kidney,1,TX1,6,Virginia Mason Medical Center,Seattle,WA,98111,USA,-122.35,47.62,city_state
WICH,600,Heart,4,TX1,7,Children's Hospital of Wisconsin,Milwaukee,WI,53226,USA,-88.04158747095855,43.0511505,zip_zcta
WISE,5379,Kidney,4,TX1,7,Froedtert Memorial Lutheran Hospital,Milwaukee,WI,53226,USA,-88.04158747095855,43.0511505,zip_zcta
WISL,3477,Kidney,4,TX1,7,Aurora St. Luke's Medical Center,Milwaukee,WI,53215,USA,-87.94229136121083,43.005360499999995,zip_zcta
WIUW,11031,Kidney,4,TX1,7,University of Wisconsin Hospital and Clinics,Madison,WI,53792,USA,-89.43044716299265,43.077614,zip_zcta
WVCA,1489,Kidney,1,TX1,2,Charleston Area Medical Center,Charleston,WV,25325,USA,-81.63,38.35,city_state
WVWU,287,Kidney,2,TX1,2,West Virginia University Hospitals Inc.,Morgantown,WV,26505,USA,-79.93617188931887,39.644053,zip_zcta
